ID	lineage	domain	phylum	class	order	family	genus	species
X5DHA0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__Draconibacterium;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Marinilabiliales	f__Prolixibacteraceae	g__Draconibacterium	s__
W0E0F9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Marichromatium;s__Marichromatiumpurpuratum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Marichromatium	s__Marichromatiumpurpuratum
V7HVJ5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__Congregibacter;s__Congregibacterlitoralis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cellvibrionales	f__Halieaceae	g__Congregibacter	s__Congregibacterlitoralis
V6KB64	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__	s__
U2FEW1	d__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__Haloplasmatales;f__Haloplasmataceae;g__Haloplasma;s__Haloplasmacontractile	d__Bacteria	p__Mycoplasmatota	c__Mollicutes	o__Haloplasmatales	f__Haloplasmataceae	g__Haloplasma	s__Haloplasmacontractile
T1XAE1	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__Variovoraxparadoxus	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	s__Variovoraxparadoxus
S9ZK24	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Thauera;s__Thaueraterpenica	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Zoogloeaceae	g__Thauera	s__Thaueraterpenica
S6H7S0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Oceanospirillaceae	g__	s__
S6AE37	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Sulfuricellaceae;g__Sulfuricella;s__Sulfuricelladenitrificans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfuricella	s__Sulfuricelladenitrificans
S6ACX6	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Sulfuricellaceae;g__Sulfuricella;s__Sulfuricelladenitrificans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfuricella	s__Sulfuricelladenitrificans
